1|1|ima opis|Serbian|20|4/25/2023 12:00:00 AM|4/30/2023 12:00:00 AM|OnHold|1
2|2|ima drugi opis|Spanish|10|3/11/2023 12:00:00 AM|3/24/2023 12:00:00 AM|OnHold|3
3|3|ima treci opis|French|30|5/1/2023 12:00:00 AM|5/7/2023 12:00:00 AM|OnHold|2
4|4|ima cetvvrti opis|Chinese|50|4/10/2023 12:00:00 AM|4/15/2023 12:00:00 AM|OnHold|4
5|5|ima peti opis|Chinese|50|1/10/2023 12:00:00 AM|4/15/2024 12:00:00 AM|OnHold|4
6|5|ima sesti opis|Chinese|50|2/10/2023 12:00:00 AM|8/15/2023 12:00:00 AM|OnHold|4
7|5|ima sedmi opis|Chinese|50|5/10/2023 12:00:00 AM|9/15/2023 12:00:00 AM|OnHold|4
8|5|ima osmi opis|Chinese|50|5/10/2023 12:00:00 AM|9/15/2023 12:00:00 AM|OnHold|4
9|26|dada|French|1|5/3/2023 12:00:00 AM|5/17/2023 12:00:00 AM|OnHold|2
10|27|dasdas|German|1|5/4/2023 12:00:00 AM|5/16/2023 12:00:00 AM|OnHold|2
