1|2|3|4/10/2023 2:42:40 PM|10/10/2023 2:42:40 PM|CancelingTour|nakon|True
3|2|4|4/10/2023 2:57:08 PM|10/10/2023 2:57:08 PM|FiveReservations|After five reservations you get this coupon|True
7|2|5|4/10/2023 6:21:45 PM|10/10/2023 6:21:45 PM|FiveReservations|After five reservations you get this coupon|True
2|2|1|4/10/2023 2:54:58 PM|10/10/2023 2:54:58 PM|FiveReservations|After five reservations you get this coupon|True
10|5|4|4/11/2023 9:34:08 AM|10/11/2023 9:34:08 AM|FiveReservations|After five reservations you get this coupon|False
8|2|1|4/10/2023 6:32:52 PM|10/10/2023 6:32:52 PM|FiveReservations|After five reservations you get this coupon|True
9|2|1|4/11/2023 9:30:05 AM|10/11/2023 9:30:05 AM|FiveReservations|After five reservations you get this coupon|True
5|2|5|4/10/2023 4:14:00 PM|10/10/2023 4:14:00 PM|FiveReservations|After five reservations you get this coupon|True
4|2|2|4/10/2023 3:31:07 PM|10/10/2023 3:31:07 PM|FiveReservations|After five reservations you get this coupon|True
11|2|5|4/12/2023 3:19:23 PM|10/12/2023 3:19:23 PM|FiveReservations|After five reservations you get this coupon|True
6|2|1|4/10/2023 6:00:31 PM|10/10/2023 6:00:31 PM|FiveReservations|After five reservations you get this coupon|True
12|2|4|4/12/2023 6:41:19 PM|10/12/2023 6:41:19 PM|FiveReservations|After five reservations you get this coupon|True
